campana,zona,regional,localidad,clase_de_suelo,cultivo,rinde,antecesor_invernal_18_1,antecesor_estival_17_18,fecha_siembra,variedad,grupo_de_madurez,espaciamiento_cm,densidad,riego,napa,adversidad_1,dano_1,adversidad_2,dano_2
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,31.42,Maíz,NA,2018-11-20,FN 4.35,IV,35,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,31.42,Maíz,NA,2018-11-12,FN 4.35,IV,42,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,Villa Valeria,0,Soja 1°,31.67,Maíz,NA,2018-10-27,N 5009,V,35,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,etruria,II,Soja 1°,32,Maíz,NA,2018-10-20,DM 3810,III,52,NA,NO,A veces,Sequía,0,NA,0
2017/18,4,V. Mackenna,washington,III,Soja 1°,32,soja,NA,2018-10-28,DM 4913,IV,35,NA,NO,si,0,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,32.42,Maíz,NA,2018-11-02,DM 3810,III,42,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,32.42,Maíz,NA,2018-11-03,DM 3810,III,42,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,Villa Valeria,0,Soja 1°,32.7,Maíz,NA,2018-10-30,DM 4612,IV,35,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,32.72,Maíz,NA,2018-11-01,DM 3810,III,42,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,32.84,Maíz,NA,2018-11-02,DM 3810,III,42,NA,NO,NO,0,0,NA,0
