campana,zona,regional,localidad,clase_de_suelo,cultivo,rinde,antecesor_invernal_18_1,antecesor_estival_17_18,fecha_siembra,variedad,grupo_de_madurez,espaciamiento_cm,densidad,riego,napa,adversidad_1,dano_1,adversidad_2,dano_2
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,28.83,Maíz,NA,2018-11-18,DM 4612,IV,35,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,III,Soja 1°,29.81,Soja,NA,2018-11-13,FN 4.35,IV,42,NA,NO,NO,Sequía,0,NA,0
2017/18,4,V. Mackenna,Buchardo,II,Soja 1°,30,Soja,NA,2018-10-27,DM 3810,III,52,NA,NO,si,Granizo,0,NA,0
2017/18,4,V. Mackenna,Coronel moldes,II,Soja 1°,30,Soja,NA,2018-11-03,DM 4615 STS,IV,42,NA,NO,A veces,Sequía,0,NA,0
2017/18,4,V. Mackenna,Del Campillo,III,Soja 1°,30,Maíz,NA,2018-11-07,DM 4913,IV,35,NA,NO,si,Sequía,0,NA,0
2017/18,4,V. Mackenna,etruria,II,Soja 1°,30,Soja,NA,2018-10-22,DM 3810,III,52,NA,NO,A veces,Sequía,0,NA,0
2017/18,4,V. Mackenna,Vicuña Mackenna,III,Soja 1°,30,soja,NA,2018-10-28,ND 4955,V,35,NA,NO,NO,Sequía,0,NA,0
2017/18,4,V. Mackenna,Vicuña Mackenna,III,Soja 1°,30,CC,NA,2018-10-28,NS 4903,IV,52,NA,NO,NO,0,0,NA,0
2017/18,4,V. Mackenna,Villa Sarmiento,II,Soja 1°,30,Soja,NA,2018-10-30,NS 4309,IV,42,NA,NO,A veces,Sequía,0,NA,0
2017/18,4,V. Mackenna,G.LEVALLE,II,Soja 1°,31.42,Maíz,NA,2018-11-12,DM 3810,III,35,NA,NO,NO,0,0,NA,0
